R,PR,Position,Name,Team,RBBR,FF Projection
568,111,QB,Jalon Daniels,Kansas,5.6,Taxi Squad Stash,Devy
619,172,RB,Jamaal Williams,NO,5.1,Waiver Wire Warrior,Dynasty
207,76,WR,Jamari Thrash,Louisville,6.7,Flex Filler,Rookie
248,73,RB,Jamarion Miller,Alabama,6.6,Flex Filler,Devy
412,83,QB,Jameis Winston,CLE,6.1,Bench Depth,Dynasty
111,26,RB,James Conner,ARI,7.2,Weekly Starter,Dynasty
80,16,RB,James Cook,BUF,7.5,Weekly Starter,Dynasty
274,81,RB,James Peoples,Ohio State,6.5,Flex Filler,Devy
176,68,WR,Jameson Williams,DET,6.9,Flex Filler,Dynasty
400,163,WR,Jaquaize Pettaway,Oklahoma,6.2,Bench Depth,Devy
70,20,QB,Jared Goff,DET,7.7,Weekly Starter,Dynasty
306,32,TE,Jared Wiley,TCU,6.4,Bench Depth,Rookie
481,131,RB,Jarquez Hunter,Auburn,6.0,Bench Depth,Devy
464,121,RB,Jase McClellan,Alabama,6.0,Bench Depth,Rookie
622,175,RB,Jashaun Corbin,NYG,5.0,Waiver Wire Warrior,Dynasty
586,113,QB,Jason Bean,Kansas,5.5,Waiver Wire Warrior,Rookie
186,70,WR,Javon Baker,UCF,6.8,Flex Filler,Rookie
107,22,RB,Javonte Williams,DEN,7.3,Weekly Starter,Dynasty
345,94,RB,Jawhar Jordan,Louisville,6.3,Bench Depth,Rookie
527,212,WR,Jaxon Janke,South Dakota State,5.8,Taxi Squad Stash,Rookie
97,42,WR,Jaxon Smith-Njigba,SEA,7.4,Weekly Starter,Dynasty
121,31,QB,Jaxson Dart,Mississippi,7.2,Weekly Starter,Devy
28,13,QB,Jayden Daniels,LSU,8.3,League Winner,Rookie
194,54,RB,Jayden Ott,California,6.8,Flex Filler,Devy
72,29,WR,Jayden Reed,GB,7.7,Weekly Starter,Dynasty
317,91,RB,Jaydon Blue,Texas,6.4,Bench Depth,Devy
480,130,RB,Jaylan Knighton,SMU,6.0,Bench Depth,Devy
37,15,WR,Jaylen Waddle,MIA,8.2,League Winner,Dynasty
159,47,RB,Jaylen Warren,PIT,6.9,Flex Filler,Dynasty
216,66,RB,Jaylen Wright,Tennessee,6.7,Flex Filler,Rookie
616,230,WR,Je'Quan Burton,Florida Atlantic,5.2,Waiver Wire Warrior,Rookie
610,167,RB,Jeffery Wilson,MIA,5.3,Waiver Wire Warrior,Dynasty
556,79,TE,Jelani Thurman,Ohio State,5.7,Taxi Squad Stash,Devy
514,68,TE,Jelani Woods,IND,5.9,Taxi Squad Stash,Dynasty
369,144,WR,Jerand Bradley,Texas Tech,6.3,Bench Depth,Devy
475,125,RB,Jeremiah Cobb,Auburn,6.0,Bench Depth,Devy
98,43,WR,Jeremiah Smith,Ohio State,7.4,Weekly Starter,Devy
491,62,TE,Jeremy Ruckert,NYJ,6.0,Bench Depth,Dynasty
263,103,WR,Jermaine Burton,Alabama,6.5,Flex Filler,Rookie
155,46,RB,Jerome Ford,CLE,6.9,Flex Filler,Dynasty
197,56,RB,Jerrick Gibson,Texas,6.8,Flex Filler,Devy
550,152,RB,Jerrick McKinnon,KC,5.7,Taxi Squad Stash,Dynasty
233,85,WR,Jerry Jeudy,CLE,6.6,Flex Filler,Dynasty
393,160,WR,Jha’Quan Jackson,Tulane,6.2,Bench Depth,Rookie
473,195,WR,Jimmy Horn Jr.,Colorado,6.0,Bench Depth,Devy
34,14,QB,JJ McCarthy,Michigan,8.2,League Winner,Rookie
204,59,RB,JK Dobbins,LAC,6.7,Flex Filler,Dynasty
360,101,RB,Jo'Quavious Marks,USC,6.3,Bench Depth,Devy
8,5,QB,Joe Burrow,CIN,8.7,Franchise Cornerstone,Dynasty
422,85,QB,Joe Flacco,IND,6.1,Bench Depth,Dynasty
423,86,QB,Joe Milton,Tennessee,6.1,Bench Depth,Rookie
129,36,RB,Joe Mixon,HOU,7.1,Weekly Starter,Dynasty
566,109,QB,John Rhys Plumlee,UCF,5.6,Taxi Squad Stash,Rookie
465,191,WR,Johnny Wilson,Florida State,6.0,Bench Depth,Rookie
166,61,WR,Johntay Cook II,Texas,6.9,Flex Filler,Devy
559,220,WR,JoJo Earle,TCU,5.7,Taxi Squad Stash,Devy
215,65,RB,Jonathan Brooks,Texas,6.7,Flex Filler,Rookie
338,134,WR,Jonathan Mingo,CAR,6.3,Bench Depth,Dynasty
41,7,RB,Jonathan Taylor,IND,8.1,League Winner,Dynasty
405,49,TE,Jonnu Smith,MIA,6.2,Bench Depth,Dynasty
39,16,WR,Jordan Addison,MIN,8.1,League Winner,Dynasty
45,17,QB,Jordan Love,GB,8.0,League Winner,Dynasty
489,135,RB,Jordan Marshall,Michigan,6.0,Bench Depth,Devy
500,99,QB,Jordan Travis,Florida State,5.9,Taxi Squad Stash,Rookie
469,194,WR,Jordan Whittington,Texas,6.0,Bench Depth,Rookie
1,1,QB,Josh Allen,BUF,9.5,Generational,Dynasty
141,53,WR,Josh Downs,IND,7.1,Weekly Starter,Dynasty
109,24,RB,Josh Jacobs,GB,7.2,Weekly Starter,Dynasty
573,86,TE,Josh Oliver,MIN,5.5,Waiver Wire Warrior,Dynasty
324,125,WR,Josh Palmer,LAC,6.4,Bench Depth,Dynasty
502,202,WR,Joshua Cephus,UTSA,5.9,Taxi Squad Stash,Rookie
535,148,RB,Jovantae Barnes,Oklahoma,5.8,Taxi Squad Stash,Devy
340,135,WR,JuJu Smith-Schuster,NE,6.3,Bench Depth,Dynasty
165,40,QB,Julian Sayan,Ohio State,6.9,Flex Filler,Devy
240,89,WR,Jurrion Dickey,Oregon,6.6,Flex Filler,Devy
138,38,RB,Justice Haynes,Alabama,7.1,Weekly Starter,Devy
462,120,RB,Justice Hill,BAL,6.0,Bench Depth,Dynasty
101,25,QB,Justin Fields,PIT,7.3,Weekly Starter,Dynasty
38,15,QB,Justin Herbert,LAC,8.1,League Winner,Dynasty
